Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Pruni, Total, Sibiu, Anul 2006, Numar, 446166
Pruni, Total, Sibiu, Anul 2007, Numar, 330514
Pruni, Total, Sibiu, Anul 2008, Numar, 329630
Pruni, Total, Sibiu, Anul 2009, Numar, 337631
Pruni, Total, Sibiu, Anul 2010, Numar, 362888
Pruni, Total, Sibiu, Anul 2011, Numar, 299564
Pruni, Total, Sibiu, Anul 2012, Numar, 272225
Pruni, Total, Sibiu, Anul 2013, Numar, 311732
Pruni, Total, Sibiu, Anul 2014, Numar, 304069
Pruni, Total, Sibiu, Anul 2015, Numar, 271685
Pruni, Total, Sibiu, Anul 2016, Numar, 281792
Pruni, Total, Sibiu, Anul 2017, Numar, 278966
Pruni, Total, Sibiu, Anul 2018, Numar, 264816
Pruni, Total, Sibiu, Anul 2019, Numar, 273880
Pruni, Total, Sibiu, Anul 2020, Numar, 252262
Pruni, Total, Sibiu, Anul 2021, Numar, 232397
Pruni, Total, Sibiu, Anul 2022, Numar, 219724
Pruni, Total, Sibiu, Anul 2023, Numar, 286172
Pruni, Total, Sibiu, Anul 2024, Numar, 197293
Pruni, Total, Bacau, Anul 2000, Numar, 833764
Pruni, Total, Bacau, Anul 2001, Numar, 829014
Pruni, Total, Bacau, Anul 2002, Numar, 832869
Pruni, Total, Bacau, Anul 2003, Numar, 835057
Pruni, Total, Bacau, Anul 2004, Numar, 749398
Pruni, Total, Bacau, Anul 2005, Numar, 763506
Pruni, Total, Bacau, Anul 2006, Numar, 771914
Pruni, Total, Bacau, Anul 2007, Numar, 502048
Pruni, Total, Bacau, Anul 2008, Numar, 483203
Pruni, Total, Bacau, Anul 2009, Numar, 446451
Pruni, Total, Bacau, Anul 2010, Numar, 444713
Pruni, Total, Bacau, Anul 2011, Numar, 443763
Pruni, Total, Bacau, Anul 2012, Numar, 393261
Pruni, Total, Bacau, Anul 2013, Numar, 447919
Pruni, Total, Bacau, Anul 2014, Numar, 450772
Pruni, Total, Bacau, Anul 2015, Numar, 384686
Pruni, Total, Bacau, Anul 2016, Numar, 382773
Pruni, Total, Bacau, Anul 2017, Numar, 382929
Pruni, Total, Bacau, Anul 2018, Numar, 390226
Pruni, Total, Bacau, Anul 2019, Numar, 388666
Pruni, Total, Bacau, Anul 2020, Numar, 388483
Pruni, Total, Bacau, Anul 2021, Numar, 347575
Pruni, Total, Bacau, Anul 2022, Numar, 347434
Pruni, Total, Bacau, Anul 2023, Numar, 338624
Pruni, Total, Bacau, Anul 2024, Numar, 396904
Pruni, Total, Botosani, Anul 2000, Numar, 619399
Pruni, Total, Botosani, Anul 2001, Numar, 667787
Pruni, Total, Botosani, Anul 2002, Numar, 642152
Pruni, Total, Botosani, Anul 2003, Numar, 644312
Pruni, Total, Botosani, Anul 2004, Numar, 644285
Pruni, Total, Botosani, Anul 2005, Numar, 680794
Pruni, Total, Botosani, Anul 2006, Numar, 702722
Pruni, Total, Botosani, Anul 2007, Numar, 413820
Pruni, Total, Botosani, Anul 2008, Numar, 419880
Pruni, Total, Botosani, Anul 2009, Numar, 309908
Pruni, Total, Botosani, Anul 2010, Numar, 358285
Pruni, Total, Botosani, Anul 2011, Numar, 309683
Pruni, Total, Botosani, Anul 2012, Numar, 310112
Pruni, Total, Botosani, Anul 2013, Numar, 309667
Pruni, Total, Botosani, Anul 2014, Numar, 305061
Pruni, Total, Botosani, Anul 2015, Numar, 268002
Pruni, Total, Botosani, Anul 2016, Numar, 267468
Pruni, Total, Botosani, Anul 2017, Numar, 272281
Pruni, Total, Botosani, Anul 2018, Numar, 292073
Pruni, Total, Botosani, Anul 2019, Numar, 272676
Pruni, Total, Botosani, Anul 2020, Numar, 272480
Pruni, Total, Botosani, Anul 2021, Numar, 271856
Pruni, Total, Botosani, Anul 2022, Numar, 274001
Pruni, Total, Botosani, Anul 2023, Numar, 279585
Pruni, Total, Botosani, Anul 2024, Numar, 277431
Pruni, Total, Iasi, Anul 2000, Numar, 894773
