Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Tone, Valoare
Prune, Total, Iasi, Anul 2011, Tone, 7644
Prune, Total, Iasi, Anul 2012, Tone, 6604
Prune, Total, Iasi, Anul 2013, Tone, 8095
Prune, Total, Iasi, Anul 2014, Tone, 9485
Prune, Total, Iasi, Anul 2015, Tone, 8281
Prune, Total, Iasi, Anul 2016, Tone, 6168
Prune, Total, Iasi, Anul 2017, Tone, 8388
Prune, Total, Iasi, Anul 2018, Tone, 13875
Prune, Total, Iasi, Anul 2019, Tone, 11495
Prune, Total, Iasi, Anul 2020, Tone, 10657
Prune, Total, Iasi, Anul 2021, Tone, 12504
Prune, Total, Iasi, Anul 2022, Tone, 10637
Prune, Total, Iasi, Anul 2023, Tone, 10511
Prune, Total, Iasi, Anul 2024, Tone, 9824
Prune, Total, Neamt, Anul 2000, Tone, 8662
Prune, Total, Neamt, Anul 2001, Tone, 9174
Prune, Total, Neamt, Anul 2002, Tone, 9189
Prune, Total, Neamt, Anul 2003, Tone, 8063
Prune, Total, Neamt, Anul 2004, Tone, 5663
Prune, Total, Neamt, Anul 2005, Tone, 9213
Prune, Total, Neamt, Anul 2006, Tone, 9935
Prune, Total, Neamt, Anul 2007, Tone, 1653
Prune, Total, Neamt, Anul 2008, Tone, 3439
Prune, Total, Neamt, Anul 2009, Tone, 5660
Prune, Total, Neamt, Anul 2010, Tone, 4780
Prune, Total, Neamt, Anul 2011, Tone, 3562
Prune, Total, Neamt, Anul 2012, Tone, 2403
Prune, Total, Neamt, Anul 2013, Tone, 2941
Prune, Total, Neamt, Anul 2014, Tone, 4773
Prune, Total, Neamt, Anul 2015, Tone, 3230
Prune, Total, Neamt, Anul 2016, Tone, 4351
Prune, Total, Neamt, Anul 2017, Tone, 4927
Prune, Total, Neamt, Anul 2018, Tone, 9729
Prune, Total, Neamt, Anul 2019, Tone, 8868
Prune, Total, Neamt, Anul 2020, Tone, 8598
Prune, Total, Neamt, Anul 2021, Tone, 8574
Prune, Total, Neamt, Anul 2022, Tone, 7247
Prune, Total, Neamt, Anul 2023, Tone, 7208
Prune, Total, Neamt, Anul 2024, Tone, 6881
Prune, Total, Suceava, Anul 2000, Tone, 4712
Prune, Total, Suceava, Anul 2001, Tone, 5244
Prune, Total, Suceava, Anul 2002, Tone, 4190
Prune, Total, Suceava, Anul 2003, Tone, 3959
Prune, Total, Suceava, Anul 2004, Tone, 3969
Prune, Total, Suceava, Anul 2005, Tone, 5924
Prune, Total, Suceava, Anul 2006, Tone, 6641
Prune, Total, Suceava, Anul 2007, Tone, 5481
Prune, Total, Suceava, Anul 2008, Tone, 5882
Prune, Total, Suceava, Anul 2009, Tone, 6105
Prune, Total, Suceava, Anul 2010, Tone, 6023
Prune, Total, Suceava, Anul 2011, Tone, 5848
Prune, Total, Suceava, Anul 2012, Tone, 4663
Prune, Total, Suceava, Anul 2013, Tone, 5003
Prune, Total, Suceava, Anul 2014, Tone, 6073
Prune, Total, Suceava, Anul 2015, Tone, 6251
Prune, Total, Suceava, Anul 2016, Tone, 6317
Prune, Total, Suceava, Anul 2017, Tone, 6110
Prune, Total, Suceava, Anul 2018, Tone, 11974
Prune, Total, Suceava, Anul 2019, Tone, 9936
Prune, Total, Suceava, Anul 2020, Tone, 9602
Prune, Total, Suceava, Anul 2021, Tone, 9920
Prune, Total, Suceava, Anul 2022, Tone, 9625
Prune, Total, Suceava, Anul 2023, Tone, 9563
Prune, Total, Suceava, Anul 2024, Tone, 9105
Prune, Total, Vaslui, Anul 2000, Tone, 6519
Prune, Total, Vaslui, Anul 2001, Tone, 8353
Prune, Total, Vaslui, Anul 2002, Tone, 6281
Prune, Total, Vaslui, Anul 2003, Tone, 14116
Prune, Total, Vaslui, Anul 2004, Tone, 14442
Prune, Total, Vaslui, Anul 2005, Tone, 12669
Prune, Total, Vaslui, Anul 2006, Tone, 12816
Prune, Total, Vaslui, Anul 2007, Tone, 2347
Prune, Total, Vaslui, Anul 2008, Tone, 2781
Prune, Total, Vaslui, Anul 2009, Tone, 3187
Prune, Total, Vaslui, Anul 2010, Tone, 2813
Prune, Total, Vaslui, Anul 2011, Tone, 2752
Prune, Total, Vaslui, Anul 2012, Tone, 1696
Prune, Total, Vaslui, Anul 2013, Tone, 2660
Prune, Total, Vaslui, Anul 2014, Tone, 2799
Prune, Total, Vaslui, Anul 2015, Tone, 3221
Prune, Total, Vaslui, Anul 2016, Tone, 3983
Prune, Total, Vaslui, Anul 2017, Tone, 3176
Prune, Total, Vaslui, Anul 2018, Tone, 5592
Prune, Total, Vaslui, Anul 2019, Tone, 4425
Prune, Total, Vaslui, Anul 2020, Tone, 4377
Prune, Total, Vaslui, Anul 2021, Tone, 5746
Prune, Total, Vaslui, Anul 2022, Tone, 3259
Prune, Total, Vaslui, Anul 2023, Tone, 6302
Prune, Total, Vaslui, Anul 2024, Tone, 5157
Prune, Total, Braila, Anul 2000, Tone, 1801
Prune, Total, Braila, Anul 2001, Tone, 3184
Prune, Total, Braila, Anul 2002, Tone, 1298
Prune, Total, Braila, Anul 2003, Tone, 3020
Prune, Total, Braila, Anul 2004, Tone, 2696
Prune, Total, Braila, Anul 2005, Tone, 3616
Prune, Total, Braila, Anul 2006, Tone, 3321
Prune, Total, Braila, Anul 2007, Tone, 482
Prune, Total, Braila, Anul 2008, Tone, 1545
Prune, Total, Braila, Anul 2009, Tone, 1716
Prune, Total, Braila, Anul 2010, Tone, 1422
Prune, Total, Braila, Anul 2011, Tone, 2100
Prune, Total, Braila, Anul 2012, Tone, 1010
Prune, Total, Braila, Anul 2013, Tone, 1697
Prune, Total, Braila, Anul 2014, Tone, 2114
Prune, Total, Braila, Anul 2015, Tone, 2411
Prune, Total, Braila, Anul 2016, Tone, 2031
Prune, Total, Braila, Anul 2017, Tone, 2494
Prune, Total, Braila, Anul 2018, Tone, 5239
Prune, Total, Braila, Anul 2019, Tone, 3778
Prune, Total, Braila, Anul 2020, Tone, 3506
Prune, Total, Braila, Anul 2021, Tone, 3400
Prune, Total, Braila, Anul 2022, Tone, 3001
Prune, Total, Braila, Anul 2023, Tone, 3072
Prune, Total, Braila, Anul 2024, Tone, 2992
Prune, Total, Buzau, Anul 2000, Tone, 16064
Prune, Total, Buzau, Anul 2001, Tone, 31934
Prune, Total, Buzau, Anul 2002, Tone, 7433
Prune, Total, Buzau, Anul 2003, Tone, 102197
Prune, Total, Buzau, Anul 2004, Tone, 6035
Prune, Total, Buzau, Anul 2005, Tone, 44529
Prune, Total, Buzau, Anul 2006, Tone, 20764
Prune, Total, Buzau, Anul 2007, Tone, 10262
Prune, Total, Buzau, Anul 2008, Tone, 26175
Prune, Total, Buzau, Anul 2009, Tone, 34797
Prune, Total, Buzau, Anul 2010, Tone, 61947
Prune, Total, Buzau, Anul 2011, Tone, 35850
Prune, Total, Buzau, Anul 2012, Tone, 30811
Prune, Total, Buzau, Anul 2013, Tone, 37421
Prune, Total, Buzau, Anul 2014, Tone, 33108
Prune, Total, Buzau, Anul 2015, Tone, 32303
Prune, Total, Buzau, Anul 2016, Tone, 30932
Prune, Total, Buzau, Anul 2017, Tone, 23897
Prune, Total, Buzau, Anul 2018, Tone, 43989
Prune, Total, Buzau, Anul 2019, Tone, 42172
Prune, Total, Buzau, Anul 2020, Tone, 38938
Prune, Total, Buzau, Anul 2021, Tone, 48047
Prune, Total, Buzau, Anul 2022, Tone, 39962
Prune, Total, Buzau, Anul 2023, Tone, 32374
Prune, Total, Buzau, Anul 2024, Tone, 31318
Prune, Total, Constanta, Anul 2000, Tone, 1593
Prune, Total, Constanta, Anul 2001, Tone, 1947
