Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Kg/ pom, Valoare
Prune, Total, Suceava, Anul 2014, Kilograme, 14
Prune, Total, Suceava, Anul 2015, Kilograme, 15
Prune, Total, Suceava, Anul 2016, Kilograme, 15
Prune, Total, Suceava, Anul 2017, Kilograme, 15
Prune, Total, Suceava, Anul 2018, Kilograme, 29
Prune, Total, Suceava, Anul 2019, Kilograme, 24
Prune, Total, Suceava, Anul 2020, Kilograme, 24
Prune, Total, Suceava, Anul 2021, Kilograme, 25
Prune, Total, Suceava, Anul 2022, Kilograme, 25
Prune, Total, Suceava, Anul 2023, Kilograme, 24
Prune, Total, Suceava, Anul 2024, Kilograme, 23
Prune, Total, Vaslui, Anul 2000, Kilograme, 12
Prune, Total, Vaslui, Anul 2001, Kilograme, 11
Prune, Total, Vaslui, Anul 2002, Kilograme, 8
Prune, Total, Vaslui, Anul 2003, Kilograme, 16
Prune, Total, Vaslui, Anul 2004, Kilograme, 11
Prune, Total, Vaslui, Anul 2005, Kilograme, 12
Prune, Total, Vaslui, Anul 2006, Kilograme, 18
Prune, Total, Vaslui, Anul 2007, Kilograme, 6
Prune, Total, Vaslui, Anul 2008, Kilograme, 12
Prune, Total, Vaslui, Anul 2009, Kilograme, 14
Prune, Total, Vaslui, Anul 2010, Kilograme, 9
Prune, Total, Vaslui, Anul 2011, Kilograme, 12
Prune, Total, Vaslui, Anul 2012, Kilograme, 6
Prune, Total, Vaslui, Anul 2013, Kilograme, 9
Prune, Total, Vaslui, Anul 2014, Kilograme, 14
Prune, Total, Vaslui, Anul 2015, Kilograme, 15
Prune, Total, Vaslui, Anul 2016, Kilograme, 18
Prune, Total, Vaslui, Anul 2017, Kilograme, 15
Prune, Total, Vaslui, Anul 2018, Kilograme, 27
Prune, Total, Vaslui, Anul 2019, Kilograme, 21
Prune, Total, Vaslui, Anul 2020, Kilograme, 22
Prune, Total, Vaslui, Anul 2021, Kilograme, 24
Prune, Total, Vaslui, Anul 2022, Kilograme, 19
Prune, Total, Vaslui, Anul 2023, Kilograme, 18
Prune, Total, Vaslui, Anul 2024, Kilograme, 19
Prune, Total, Regiunea SUD-EST, Anul 2000, Kilograme, 9
Prune, Total, Regiunea SUD-EST, Anul 2001, Kilograme, 16
Prune, Total, Regiunea SUD-EST, Anul 2002, Kilograme, 6
Prune, Total, Regiunea SUD-EST, Anul 2003, Kilograme, 27
Prune, Total, Regiunea SUD-EST, Anul 2004, Kilograme, 6
Prune, Total, Regiunea SUD-EST, Anul 2005, Kilograme, 19
Prune, Total, Regiunea SUD-EST, Anul 2006, Kilograme, 17
Prune, Total, Regiunea SUD-EST, Anul 2007, Kilograme, 7
Prune, Total, Regiunea SUD-EST, Anul 2008, Kilograme, 13
Prune, Total, Regiunea SUD-EST, Anul 2009, Kilograme, 14
Prune, Total, Regiunea SUD-EST, Anul 2010, Kilograme, 20
Prune, Total, Regiunea SUD-EST, Anul 2011, Kilograme, 14
Prune, Total, Regiunea SUD-EST, Anul 2012, Kilograme, 13
Prune, Total, Regiunea SUD-EST, Anul 2013, Kilograme, 16
Prune, Total, Regiunea SUD-EST, Anul 2014, Kilograme, 17
Prune, Total, Regiunea SUD-EST, Anul 2015, Kilograme, 16
Prune, Total, Regiunea SUD-EST, Anul 2016, Kilograme, 14
Prune, Total, Regiunea SUD-EST, Anul 2017, Kilograme, 12
Prune, Total, Regiunea SUD-EST, Anul 2018, Kilograme, 25
Prune, Total, Regiunea SUD-EST, Anul 2019, Kilograme, 22
Prune, Total, Regiunea SUD-EST, Anul 2020, Kilograme, 21
Prune, Total, Regiunea SUD-EST, Anul 2021, Kilograme, 24
Prune, Total, Regiunea SUD-EST, Anul 2022, Kilograme, 20
Prune, Total, Regiunea SUD-EST, Anul 2023, Kilograme, 18
Prune, Total, Regiunea SUD-EST, Anul 2024, Kilograme, 17
Prune, Total, Braila, Anul 2000, Kilograme, 11
Prune, Total, Braila, Anul 2001, Kilograme, 15
Prune, Total, Braila, Anul 2002, Kilograme, 7
