An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2008, Bihor,Meri,803456,1767,22
 Anul 2008, Bihor,Meri,803456,1767,13
 Anul 2008, Bihor,Meri,803456,1767,24
 Anul 2008, Bihor,Meri,803456,1594,9
 Anul 2008, Bihor,Meri,803456,1594,21
 Anul 2008, Bihor,Meri,803456,1594,13
 Anul 2008, Bihor,Meri,803456,1594,22
 Anul 2008, Bihor,Meri,803456,1594,13
 Anul 2008, Bihor,Meri,803456,1594,24
 Anul 2009, Bihor,Meri,854438,21121,15
 Anul 2009, Bihor,Meri,854438,21121,22
 Anul 2009, Bihor,Meri,854438,21121,14
 Anul 2009, Bihor,Meri,854438,21121,23
 Anul 2009, Bihor,Meri,854438,21121,11
 Anul 2009, Bihor,Meri,854438,21121,24
 Anul 2009, Bihor,Meri,854438,19573,15
 Anul 2009, Bihor,Meri,854438,19573,22
 Anul 2009, Bihor,Meri,854438,19573,14
 Anul 2009, Bihor,Meri,854438,19573,23
 Anul 2009, Bihor,Meri,854438,19573,11
 Anul 2009, Bihor,Meri,854438,19573,24
 Anul 2009, Bihor,Meri,854438,2267,15
 Anul 2009, Bihor,Meri,854438,2267,22
 Anul 2009, Bihor,Meri,854438,2267,14
 Anul 2009, Bihor,Meri,854438,2267,23
 Anul 2009, Bihor,Meri,854438,2267,11
 Anul 2009, Bihor,Meri,854438,2267,24
 Anul 2009, Bihor,Meri,854438,5195,15
 Anul 2009, Bihor,Meri,854438,5195,22
 Anul 2009, Bihor,Meri,854438,5195,14
 Anul 2009, Bihor,Meri,854438,5195,23
 Anul 2009, Bihor,Meri,854438,5195,11
 Anul 2009, Bihor,Meri,854438,5195,24
 Anul 2009, Bihor,Meri,854438,2872,15
 Anul 2009, Bihor,Meri,854438,2872,22
 Anul 2009, Bihor,Meri,854438,2872,14
 Anul 2009, Bihor,Meri,854438,2872,23
 Anul 2009, Bihor,Meri,854438,2872,11
 Anul 2009, Bihor,Meri,854438,2872,24
 Anul 2009, Bihor,Meri,854438,1536,15
 Anul 2009, Bihor,Meri,854438,1536,22
 Anul 2009, Bihor,Meri,854438,1536,14
 Anul 2009, Bihor,Meri,854438,1536,23
 Anul 2009, Bihor,Meri,854438,1536,11
 Anul 2009, Bihor,Meri,854438,1536,24
 Anul 2010, Bihor,Meri,769558,9776,11
 Anul 2010, Bihor,Meri,769558,9776,13
 Anul 2010, Bihor,Meri,769558,9776,25
 Anul 2010, Bihor,Meri,769558,9776,9
 Anul 2010, Bihor,Meri,769558,9776,11
 Anul 2010, Bihor,Meri,769558,9776,22
 Anul 2010, Bihor,Meri,769558,9639,11
 Anul 2010, Bihor,Meri,769558,9639,13
 Anul 2010, Bihor,Meri,769558,9639,25
 Anul 2010, Bihor,Meri,769558,9639,9
 Anul 2010, Bihor,Meri,769558,9639,11
 Anul 2010, Bihor,Meri,769558,9639,22
 Anul 2010, Bihor,Meri,769558,3371,11
 Anul 2010, Bihor,Meri,769558,3371,13
 Anul 2010, Bihor,Meri,769558,3371,25
 Anul 2010, Bihor,Meri,769558,3371,9
 Anul 2010, Bihor,Meri,769558,3371,11
 Anul 2010, Bihor,Meri,769558,3371,22
 Anul 2010, Bihor,Meri,769558,2522,11
