Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale
Mere, Dambovita,2003,1556145.0,43.0,67569.0
Mere, Dambovita,2004,1578579.0,45.0,71310.0
Mere, Dambovita,2005,1626116.0,28.0,47052.0
Mere, Dambovita,2006,1538801.0,32.0,49517.0
Mere, Dambovita,2007,1707366.0,57.0,96572.0
Mere, Dambovita,2008,1668246.0,24.0,39610.0
Mere, Dambovita,2009,1794961.0,34.0,61148.0
Mere, Dambovita,2010,1983850.0,42.0,83726.0
Mere, Dambovita,2011,1971164.0,32.0,63389.0
Mere, Dambovita,2012,1370656.0,44.0,60809.0
Mere, Dambovita,2013,1319787.0,43.0,56430.0
Mere, Dambovita,2014,1301848.0,32.0,41623.0
Mere, Dambovita,2015,1307791.0,34.0,44690.0
Mere, Dambovita,2016,1304329.0,47.0,61688.0
Mere, Dambovita,2017,1290572.0,34.0,43809.0
Mere, Dambovita,2018,1277345.0,67.0,85061.0
Mere, Dambovita,2019,1280089.0,38.0,48275.0
Mere, Dambovita,2020,1429778.0,39.0,55340.0
Mere, Dambovita,2021,1419665.0,45.0,64079.0
Mere, Dambovita,2022,1418870.0,63.0,88711.0
Mere, Dambovita,2023,1477417.0,59.0,87848.0
Mere, Dambovita,2024,1434358.0,58.0,82628.0
Mere, Dolj,2000,1357025.0,3.0,4245.0
Mere, Dolj,2001,1216090.0,21.0,4808.0
Mere, Dolj,2002,1146108.0,1.0,1579.0
Mere, Dolj,2003,1390847.0,4.0,5375.0
Mere, Dolj,2004,1350295.0,3.0,3443.0
Mere, Dolj,2005,850302.0,23.0,19974.0
Mere, Dolj,2006,485470.0,11.0,5102.0
Mere, Dolj,2007,193000.0,26.0,5034.0
Mere, Dolj,2008,160722.0,21.0,3449.0
Mere, Dolj,2009,129796.0,19.0,2430.0
Mere, Dolj,2010,143723.0,14.0,1962.0
Mere, Dolj,2011,135585.0,15.0,2050.0
Mere, Dolj,2012,159837.0,12.0,1839.0
Mere, Dolj,2013,178292.0,11.0,1994.0
Mere, Dolj,2014,146797.0,16.0,2369.0
Mere, Dolj,2015,118105.0,14.0,1642.0
Mere, Dolj,2016,131787.0,14.0,1891.0
Mere, Dolj,2017,127452.0,12.0,1515.0
Mere, Dolj,2018,141560.0,12.0,1645.0
Mere, Dolj,2019,120376.0,13.0,1623.0
Mere, Dolj,2020,369952.0,6.0,2035.0
Mere, Dolj,2021,188683.0,11.0,2054.0
Mere, Dolj,2022,69990.0,18.0,1287.0
Mere, Dolj,2023,103125.0,12.0,1204.0
Mere, Dolj,2024,104005.0,10.0,1070.0
Mere, Galati,2000,402791.0,13.0,5093.0
Mere, Galati,2001,422009.0,14.0,4697.0
Mere, Galati,2002,405434.0,16.0,6366.0
Mere, Galati,2003,454314.0,17.0,7925.0
Mere, Galati,2004,431713.0,34.0,14865.0
Mere, Galati,2005,488771.0,23.0,11746.0
Mere, Galati,2006,314944.0,18.0,5559.0
Mere, Galati,2007,164867.0,7.0,1163.0
Mere, Galati,2008,184247.0,15.0,2759.0
Mere, Galati,2009,228709.0,13.0,2906.0
Mere, Galati,2010,261856.0,18.0,4825.0
Mere, Galati,2011,202941.0,15.0,3013.0
Mere, Galati,2012,181671.0,15.0,2668.0
Mere, Galati,2013,146683.0,14.0,2091.0
Mere, Galati,2014,146328.0,19.0,2839.0
Mere, Galati,2015,196302.0,18.0,3493.0
Mere, Galati,2016,167377.0,20.0,3422.0
Mere, Galati,2017,174127.0,17.0,3028.0
Mere, Galati,2018,216293.0,17.0,3597.0
Mere, Galati,2019,130169.0,21.0,2698.0
Mere, Galati,2020,137445.0,19.0,2558.0
Mere, Galati,2021,154068.0,20.0,3045.0
Mere, Galati,2022,150525.0,18.0,2650.0
Mere, Galati,2023,134616.0,17.0,2298.0
Mere, Galati,2024,196155.0,11.0,2063.0
Mere, Giurgiu,2000,47541.0,17.0,827.0
Mere, Giurgiu,2001,46910.0,26.0,1214.0
Mere, Giurgiu,2002,48596.0,15.0,711.0
Mere, Giurgiu,2003,44420.0,26.0,1166.0
Mere, Giurgiu,2004,46028.0,22.0,1022.0
Mere, Giurgiu,2005,45316.0,12.0,1068.0
Mere, Giurgiu,2006,45261.0,17.0,755.0
Mere, Giurgiu,2007,63901.0,6.0,373.0
Mere, Giurgiu,2008,102491.0,8.0,780.0
Mere, Giurgiu,2009,76933.0,16.0,1197.0
Mere, Giurgiu,2010,120085.0,11.0,1379.0
Mere, Giurgiu,2011,60528.0,26.0,1545.0
Mere, Giurgiu,2012,124653.0,8.0,1029.0
Mere, Giurgiu,2013,124872.0,11.0,1328.0
Mere, Giurgiu,2014,70616.0,21.0,1504.0
Mere, Giurgiu,2015,89008.0,25.0,2198.0
Mere, Giurgiu,2016,84891.0,23.0,1952.0
Mere, Giurgiu,2017,84491.0,19.0,1641.0
Mere, Giurgiu,2018,84711.0,29.0,2451.0
Mere, Giurgiu,2019,85500.0,27.0,2341.0
Mere, Giurgiu,2020,85511.0,26.0,2225.0
Mere, Giurgiu,2021,86271.0,25.0,2193.0
Mere, Giurgiu,2022,87249.0,23.0,1981.0
Mere, Giurgiu,2023,148486.0,21.0,3044.0
Mere, Giurgiu,2024,143875.0,13.0,1934.0
Mere, Gorj,2000,1122643.0,4.0,4283.0
Mere, Gorj,2001,921954.0,5.0,4054.0
Mere, Gorj,2002,791019.0,2.0,1650.0
Mere, Gorj,2003,589865.0,15.0,9132.0
Mere, Gorj,2004,559850.0,25.0,13767.0
Mere, Gorj,2005,558211.0,5.0,3181.0
Mere, Gorj,2006,439901.0,13.0,5814.0
Mere, Gorj,2007,398316.0,14.0,5657.0
Mere, Gorj,2008,377450.0,13.0,4968.0
Mere, Gorj,2009,379833.0,12.0,4425.0
Mere, Gorj,2010,361256.0,11.0,4063.0
Mere, Gorj,2011,364930.0,22.0,8011.0
Mere, Gorj,2012,379535.0,10.0,3716.0
Mere, Gorj,2013,365957.0,18.0,6574.0
Mere, Gorj,2014,347861.0,18.0,6305.0
Mere, Gorj,2015,373905.0,18.0,6809.0
Mere, Gorj,2016,367165.0,18.0,6633.0
Mere, Gorj,2017,372057.0,10.0,3869.0
Mere, Gorj,2018,374341.0,23.0,8582.0
Mere, Gorj,2019,371531.0,24.0,8749.0
Mere, Gorj,2020,370845.0,23.0,8359.0
Mere, Gorj,2021,379381.0,22.0,8363.0
Mere, Gorj,2022,374351.0,19.0,7217.0
Mere, Gorj,2023,366831.0,19.0,6903.0
Mere, Gorj,2024,364183.0,17.0,6055.0
