Judet,An,Kg_pe_Pom,Rootstock_ID,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_vara,precipitatii_vara,umid_sol_rad_vara,temp_medie_an,precipitatii_an,cdd10_an,precipitatii_toamna,temp_medie_toamna,umid_sol_rad_toamna,zile_inghet_toamna,temp_min_iarna,zile_inghet_iarna
Bacau,2018,21.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.77,308.4,0.461,9.68,640.8,1643.0,77.1,10.06,0.398,15.0,-15.02,54.0
Bacau,2019,23.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,21.24,235.7,0.454,10.6,638.3,1587.3,115.8,11.94,0.414,10.0,-14.35,58.0
Bacau,2020,22.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.94,235.9,0.432,10.47,633.6,1506.5,152.5,11.24,0.439,18.0,-9.86,54.0
Bacau,2021,9.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.95,282.9,0.462,9.18,643.7,1305.1,49.5,9.04,0.411,19.0,-14.6,49.0
Bacau,2022,14.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,22.08,162.0,0.4,10.4,478.8,1590.6,143.4,10.68,0.428,12.0,-12.13,56.0
Bacau,2023,15.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,22.12,182.2,0.415,11.13,541.1,1694.8,121.4,12.47,0.401,12.0,-12.91,40.0
Bacau,2024,14.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,23.93,183.7,0.408,11.66,652.0,1872.1,191.2,10.34,0.445,21.0,-13.66,39.0
Bihor,2000,7.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.21,54.6,0.524,11.99,316.5,1999.5,37.6,13.62,0.516,2.0,-25.1,56.0
Bihor,2001,7.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,21.76,209.0,0.588,10.86,608.6,1676.7,157.6,10.23,0.599,21.0,-7.3,42.0
Bihor,2002,11.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.39,132.3,0.537,11.86,439.6,1900.6,140.0,11.52,0.582,7.0,-17.21,42.0
Bihor,2003,9.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.8,113.5,0.538,10.61,477.1,1874.5,165.1,10.48,0.603,14.0,-22.89,57.0
Bihor,2004,33.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,21.59,261.7,0.606,10.44,735.2,1566.0,177.6,11.16,0.653,10.0,-15.26,53.0
Bihor,2005,11.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,20.66,326.1,0.655,10.09,741.4,1534.9,90.1,11.3,0.647,12.0,-13.69,57.0
Bihor,2006,17.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,21.29,242.4,0.639,10.64,624.1,1654.4,65.3,12.37,0.569,8.0,-17.22,52.0
Bihor,2007,7.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.87,184.2,0.554,12.04,634.4,1831.8,214.9,9.57,0.651,19.0,-5.96,33.0
