Area,Element,Year,Unit,Value
Brazil,Area harvested,2015,ha,35842.0
Brazil,Area harvested,2016,ha,34214.0
Brazil,Area harvested,2017,ha,33328.0
Brazil,Area harvested,2018,ha,33229.0
Brazil,Area harvested,2019,ha,32405.0
Brazil,Yield,2005,hg/ha,239635.0
Brazil,Yield,2006,hg/ha,239017.0
Brazil,Yield,2007,hg/ha,294824.0
Brazil,Yield,2008,hg/ha,295271.0
Brazil,Yield,2009,hg/ha,320085.0
Brazil,Yield,2010,hg/ha,330327.0
Brazil,Yield,2011,hg/ha,351655.0
Brazil,Yield,2012,hg/ha,346301.0
Brazil,Yield,2013,hg/ha,321668.0
Brazil,Yield,2014,hg/ha,372187.0
Brazil,Yield,2015,hg/ha,352841.0
Brazil,Yield,2016,hg/ha,308465.0
Brazil,Yield,2017,hg/ha,392355.0
Brazil,Yield,2018,hg/ha,362035.0
Brazil,Yield,2019,hg/ha,377404.0
Brazil,Production,2005,tonnes,850535.0
Brazil,Production,2006,tonnes,863019.0
Brazil,Production,2007,tonnes,1115379.0
